Painting,Metric,TourType,SpearmanRho,p-value,N
de Chirico,FI_MaxIntensity,Type 3.0,-0.486,0.109,12
de Chirico,Audio_AvgValence,All,0.225,0.1461,43
de Chirico,Audio_AvgValence,Type 2.0,0.364,0.1657,16
de Chirico,SaccadeRate,Type 3.0,-0.386,0.2149,12
de Chirico,TileTimePercent_Audio,Type 3.0,-0.386,0.2149,12
de Chirico,TimeAtTheTile,Type 3.0,-0.386,0.2149,12
de Chirico,Audio_DominantEmotionIntensity,Type 3.0,-0.338,0.2826,12
de Chirico,ReactionTime,All,-0.165,0.2894,43
de Chirico,FI_MaxIntensity,Type 1.0,-0.282,0.3281,14
de Chirico,FI_Valence,Type 1.0,0.282,0.3281,14
de Chirico,Audio_DominantEmotionIntensity,All,-0.15,0.336,43
de Chirico,FI_MaxIntensity,Type 2.0,-0.239,0.372,16
de Chirico,FI_Valence,All,0.136,0.3896,42
de Chirico,TileTimePercent_Audio,All,-0.12,0.4425,43
de Chirico,TimeAtTheTile,All,-0.12,0.4425,43
de Chirico,GazeTime,Type 3.0,-0.241,0.4497,12
de Chirico,ReactionTime,Type 3.0,-0.241,0.4497,12
de Chirico,GazeTime,Type 1.0,0.209,0.4539,15
de Chirico,TileTimePercent_Audio,Type 1.0,0.209,0.4539,15
de Chirico,TimeAtTheTile,Type 1.0,0.209,0.4539,15
de Chirico,FI_Valence,Type 2.0,0.179,0.506,16
de Chirico,GazeTime,Type 2.0,-0.168,0.5339,16
de Chirico,GazePercent_Audio,Type 1.0,0.174,0.534,15
de Chirico,ReactionTime,Type 1.0,0.174,0.534,15
de Chirico,Audio_AvgValence,Type 3.0,0.193,0.5476,12
de Chirico,GazePercent_Audio,Type 3.0,-0.193,0.5476,12
de Chirico,GazePercent_Audio,All,-0.094,0.5491,43
de Chirico,Audio_DominantEmotionIntensity,Type 2.0,0.14,0.605,16
de Chirico,GazeTime,All,-0.075,0.632,43
de Chirico,GazePercent_Audio,Type 2.0,-0.112,0.6793,16
de Chirico,Audio_AvgValence,Type 1.0,0.105,0.7102,15
de Chirico,SaccadeRate,All,0.047,0.7649,43
de Chirico,SaccadeRate,Type 1.0,-0.07,0.8048,15
de Chirico,Audio_DominantEmotionIntensity,Type 1.0,-0.035,0.9016,15
de Chirico,FI_Valence,Type 3.0,0.0,1.0,12
de Chirico,SelfReportedLiking,Type 3.0,0.0,1.0,12
van Dongen,SelfReportedLiking,All,0.429,0.0041,43
van Dongen,SelfReportedLiking,Type 2.0,0.591,0.016,16
van Dongen,SelfReportedLiking,Type 1.0,0.608,0.0162,15
van Dongen,GazeTime,Type 3.0,0.666,0.0181,12
van Dongen,FI_Valence,All,-0.344,0.0257,42
van Dongen,TimeAtTheTile,Type 2.0,-0.465,0.0696,16
van Dongen,Audio_AvgValence,Type 2.0,0.451,0.0796,16
van Dongen,TileTimePercent_Audio,Type 2.0,-0.451,0.0796,16
van Dongen,Audio_AvgValence,Type 1.0,-0.463,0.0823,15
van Dongen,TileTimePercent_Audio,Type 3.0,0.512,0.0887,12
van Dongen,TimeAtTheTile,Type 3.0,0.512,0.0887,12
van Dongen,GazeTime,All,0.256,0.097,43
van Dongen,FI_MaxIntensity,Type 3.0,-0.465,0.128,12
van Dongen,Audio_DominantEmotionIntensity,Type 2.0,0.369,0.1596,16
van Dongen,GazePercent_Audio,All,0.213,0.1708,43
van Dongen,FI_Valence,Type 3.0,-0.41,0.1856,12
van Dongen,GazePercent_Audio,Type 3.0,0.41,0.186,12
van Dongen,Audio_DominantEmotionIntensity,All,0.175,0.2624,43
van Dongen,SaccadeRate,Type 2.0,0.287,0.2812,16
van Dongen,FI_Valence,Type 2.0,-0.286,0.2827,16
van Dongen,FI_Valence,Type 1.0,-0.297,0.3016,14
van Dongen,ReactionTime,All,0.144,0.3557,43
van Dongen,TimeAtTheTile,All,-0.118,0.452,43
van Dongen,TileTimePercent_Audio,All,-0.116,0.4594,43
van Dongen,ReactionTime,Type 1.0,0.193,0.491,15
van Dongen,FI_MaxIntensity,Type 2.0,0.175,0.5164,16
van Dongen,SaccadeRate,Type 3.0,-0.18,0.5766,12
van Dongen,TileTimePercent_Audio,Type 1.0,-0.154,0.583,15
