ParticipantID,Painting,SelfReportedLiking,FI_Valence,FI_MaxEmotion,FI_MaxIntensity,GazeTime,GazePercent_Audio,Audio_AvgValence,Audio_DominantEmotion,Audio_DominantEmotionIntensity,Audio_EmotionSequence,SaccadeRate,EngagementLevel,ReactionTime
111,Braque,3,0.0,neutral,0.0,45.58,59.52,-8.92,sadness,8.92,sadness;anger;joy;disgust;surprise,11.01,low,7.27
111,Janco,7,0.0,neutral,0.0,58.82,86.63,-8.27,sadness,8.27,sadness;anger;joy;disgust;surprise,14.47,low,61.1
111,Klimt,6,0.0,neutral,0.0,94.56,96.6,-12.19,sadness,13.72,sadness;anger;surprise;joy;disgust,15.9,low,20.12
111,Picasso,5,0.0,neutral,0.0,57.86,94.07,-7.32,anger,7.56,anger;sadness;joy;disgust;surprise,10.82,low,4.68
111,Pollock,3,0.0,neutral,0.0,55.28,61.98,-6.26,anger,7.03,anger;sadness;joy;disgust;surprise,9.89,low,7.33
111,de Chirico,6,0.0,neutral,0.0,35.54,71.62,-2.46,sadness,3.08,sadness;anger;surprise;joy;disgust,13.31,low,17.43
111,van Dongen,7,0.0,neutral,0.0,73.66,87.87,-10.23,anger,10.91,anger;sadness;joy;disgust;surprise,10.35,low,5.72
112,Braque,4,-11.9,anger,23.81,52.74,69.52,-0.5,anger,7.26,anger;surprise;joy;sadness;disgust,10.06,low,5.23
112,Janco,5,14.84,surprise,29.69,57.58,85.5,-3.97,anger,19.29,anger;surprise;joy;sadness;disgust,12.34,low,1.58
112,Klimt,5,26.13,surprise,52.26,82.32,91.84,2.27,surprise,19.94,surprise;anger;joy;sadness;disgust,17.03,low,9.98
112,Picasso,5,0.0,neutral,0.0,48.32,79.52,-2.31,anger,10.91,anger;surprise;joy;sadness;disgust,8.54,low,2.07
112,Pollock,6,15.57,joy,72.24,55.82,61.45,-1.17,anger,11.64,anger;surprise;sadness;joy;disgust,7.98,low,5.89
112,de Chirico,5,0.0,neutral,0.0,44.78,91.04,-2.43,anger,10.74,anger;surprise;joy;sadness;disgust,8.66,low,4.65
112,van Dongen,4,-12.65,anger,25.3,57.48,70.48,0.53,surprise,8.71,surprise;anger;joy;sadness;disgust,9.47,low,74.74
113,Braque,4,17.88,surprise,35.76,56.74,80.18,0.49,surprise,0.99,surprise;joy;sadness;anger;disgust,4.15,moderate,5.57
113,Janco,5,0.0,neutral,0.0,58.68,89.97,-0.15,anger,7.78,anger;surprise;joy;sadness;disgust,6.18,low,1.78
113,Klimt,5,41.31,surprise,82.62,72.08,81.82,12.15,surprise,29.34,surprise;anger;joy;sadness;disgust,10.62,low,5.66
113,Picasso,3,0.0,neutral,0.0,37.6,62.58,0.2,surprise,0.39,surprise;joy;sadness;anger;disgust,3.35,moderate,2.8
113,Pollock,6,0.0,neutral,0.0,60.14,67.43,0.62,surprise,2.31,surprise;anger;joy;sadness;disgust,3.98,moderate,4.32
113,de Chirico,7,0.0,neutral,0.0,44.5,90.42,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,3.25,moderate,5.92
113,van Dongen,7,0.0,neutral,0.0,57.6,70.78,-0.47,anger,0.95,anger;joy;sadness;disgust;surprise,3.9,moderate,3.92
114,Braque,7,0.0,neutral,0.0,38.9,50.91,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,26.31,low,6.39
114,Janco,7,0.0,neutral,0.0,40.44,60.66,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,27.31,low,1.54
114,Klimt,4,0.0,neutral,0.0,63.26,69.75,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,25.96,low,42.41
114,Picasso,4,,,,22.16,35.69,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,27.56,low,2.27
114,Pollock,6,0.0,neutral,0.0,20.6,22.44,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,9.95,low,3.12
114,de Chirico,7,,,,11.9,23.49,0.94,joy,1.87,joy;sadness;anger;disgust;surprise,25.52,low,8.2
114,van Dongen,5,,,,27.68,32.84,0.62,joy,1.24,joy;sadness;anger;disgust;surprise,27.84,low,3.54
116,Braque,5,-4.27,anger,39.19,20.04,25.84,10.56,joy,18.11,joy;surprise;anger;disgust;sadness,14.31,low,7.64
116,Janco,6,6.78,joy,33.55,52.42,80.16,15.27,joy,28.82,joy;surprise;anger;sadness;disgust,12.22,low,4.23
116,Klimt,5,20.78,surprise,37.58,14.82,83.45,15.73,joy,31.61,joy;surprise;anger;disgust;sadness,16.86,low,16.4
116,Picasso,6,17.71,surprise,35.3,42.7,71.07,14.51,joy,31.03,joy;anger;surprise;disgust;sadness,11.0,low,1.82
116,Pollock,2,11.15,joy,22.3,22.7,23.61,11.69,joy,31.55,joy;anger;surprise;disgust;sadness,11.6,low,5.17
116,de Chirico,6,15.15,joy,30.3,27.36,55.3,11.96,joy,28.5,joy;anger;surprise;disgust;sadness,11.88,low,6.71
116,van Dongen,2,16.26,joy,32.51,18.18,23.11,14.71,joy,30.59,joy;anger;surprise;disgust;sadness,10.46,low,5.25
118,Braque,5,0.0,neutral,0.0,62.34,81.84,0.48,surprise,1.54,surprise;sadness;joy;anger;disgust,6.23,low,7.3
118,Janco,6,0.0,sadness,22.16,63.88,94.63,0.44,surprise,0.88,surprise;joy;sadness;anger;disgust,7.33,low,2.12
118,Klimt,7,0.0,sadness,22.27,85.02,94.64,1.81,surprise,5.13,surprise;sadness;joy;anger;disgust,10.79,low,17.64
118,Picasso,7,0.0,neutral,0.0,60.1,98.07,0.63,surprise,1.27,surprise;joy;sadness;anger;disgust,4.61,moderate,1.95
118,Pollock,6,0.0,sadness,32.03,79.78,90.6,-0.26,surprise,0.74,surprise;sadness;disgust;anger;joy,6.22,low,5.08
118,de Chirico,7,0.0,neutral,0.0,47.7,95.89,0.63,surprise,1.26,surprise;joy;sadness;anger;disgust,6.11,low,7.62
118,van Dongen,5,0.0,neutral,0.0,66.7,82.07,0.25,surprise,1.33,surprise;sadness;disgust;joy;anger,5.51,low,5.31
119,Braque,7,-11.11,anger,22.22,31.62,83.07,0.05,surprise,2.75,surprise;anger;joy;sadness;disgust,8.48,low,10.0
119,Janco,7,10.59,surprise,21.18,26.86,92.18,-0.76,anger,3.36,anger;surprise;joy;sadness;disgust,10.87,low,63.12
119,Klimt,6,41.44,joy,98.2,83.64,90.51,4.52,surprise,11.33,surprise;anger;joy;sadness;disgust,12.91,low,17.66
119,Picasso,7,-10.64,anger,21.29,32.76,83.52,-2.49,anger,5.35,anger;surprise;joy;sadness;disgust,9.15,low,1.61
119,Pollock,7,41.34,joy,77.19,80.64,87.03,5.13,surprise,10.32,surprise;anger;joy;sadness;disgust,8.7,low,3.02
119,de Chirico,7,11.18,surprise,22.36,42.78,87.75,-0.12,anger,0.87,anger;surprise;joy;sadness;disgust,8.74,low,13.96
119,van Dongen,5,0.0,neutral,0.0,71.06,87.74,-0.23,anger,1.05,anger;surprise;joy;sadness;disgust,7.75,low,2.85
120,Braque,6,0.0,neutral,0.0,62.56,83.66,-4.31,sadness,6.25,sadness;anger;surprise;disgust;joy,6.37,low,7.5
120,Janco,4,-25.82,sadness,25.82,59.32,90.93,-2.6,sadness,3.16,sadness;anger;surprise;joy;disgust,7.74,low,15.04
120,Klimt,4,-20.07,sadness,20.07,87.3,97.84,-8.39,sadness,8.78,sadness;anger;surprise;joy;disgust,8.59,low,22.72
120,Picasso,5,0.0,neutral,0.0,5.06,7.82,-2.2,sadness,2.03,sadness;anger;disgust;joy;surprise,8.8,low,5.0
120,Pollock,2,0.0,neutral,0.0,109.84,86.34,-7.32,sadness,7.97,sadness;anger;surprise;joy;disgust,5.25,low,18.37
120,de Chirico,6,-10.3,anger,20.59,37.74,77.55,-6.56,sadness,7.6,sadness;anger;surprise;joy;disgust,7.36,low,9.01
120,van Dongen,5,0.0,neutral,0.0,61.16,75.75,-5.12,sadness,6.52,sadness;anger;surprise;disgust;joy,6.7,low,8.97
121,Braque,2,17.93,surprise,35.87,59.78,77.28,-0.99,surprise,10.0,surprise;sadness;anger;joy;disgust,4.85,moderate,14.33
121,Janco,3,0.0,neutral,0.0,35.26,50.32,1.25,surprise,10.3,surprise;anger;sadness;joy;disgust,7.33,low,39.2
121,Klimt,5,12.44,surprise,24.88,57.8,63.11,2.39,surprise,27.7,surprise;sadness;anger;joy;disgust,11.51,low,7.47
121,Picasso,5,28.58,surprise,57.17,50.14,82.46,-3.89,anger,12.26,anger;surprise;sadness;joy;disgust,7.46,low,2.23
121,Pollock,5,11.11,surprise,22.22,37.18,41.23,-1.83,surprise,10.32,surprise;anger;sadness;joy;disgust,6.47,low,2.51
121,de Chirico,4,0.0,neutral,0.0,31.06,63.1,-0.36,surprise,11.53,surprise;sadness;anger;joy;disgust,6.54,low,36.45
121,van Dongen,5,0.0,neutral,0.0,21.9,26.36,-0.83,surprise,8.29,surprise;sadness;anger;joy;disgust,5.92,low,3.07
122,Braque,7,27.87,surprise,55.74,62.14,82.24,-10.89,sadness,12.03,sadness;anger;surprise;joy;disgust,8.21,low,5.17
122,Janco,6,17.26,surprise,34.53,60.82,91.63,-18.82,sadness,21.07,sadness;anger;surprise;joy;disgust,10.61,low,1.25
122,Klimt,4,19.92,surprise,39.85,78.3,85.45,-13.66,sadness,18.91,sadness;anger;surprise;joy;disgust,13.77,low,51.71
122,Picasso,6,15.44,surprise,30.88,36.02,58.72,-13.43,sadness,17.4,sadness;anger;surprise;joy;disgust,6.89,low,3.07
122,Pollock,7,-2.2,surprise,60.52,73.9,84.55,-7.26,surprise,15.53,surprise;sadness;anger;joy;disgust,7.28,low,6.23
122,de Chirico,6,-25.45,sadness,36.06,44.36,90.54,-21.44,sadness,23.14,sadness;anger;surprise;joy;disgust,8.68,low,5.4
122,van Dongen,2,21.48,surprise,42.95,54.46,65.48,-18.28,sadness,21.52,sadness;anger;surprise;joy;disgust,8.62,low,6.45
123,Braque,4,-23.74,sadness,23.74,60.88,80.77,-5.63,sadness,12.34,sadness;anger;joy;surprise;disgust,7.26,low,5.35
123,Janco,7,-5.4,joy,32.01,52.74,80.65,2.12,joy,17.07,joy;sadness;surprise;anger;disgust,9.37,low,1.26
123,Klimt,7,32.96,joy,96.08,79.76,91.1,-6.3,sadness,16.21,sadness;anger;surprise;joy;disgust,10.49,low,25.29
123,Picasso,5,10.06,joy,81.88,54.34,89.45,-8.2,sadness,11.82,sadness;anger;joy;surprise;disgust,5.58,low,1.11
123,Pollock,3,12.64,joy,25.27,73.06,83.25,-2.24,sadness,10.71,sadness;anger;surprise;joy;disgust,6.25,low,2.15
123,de Chirico,5,26.88,surprise,53.76,46.18,92.88,-16.66,sadness,18.02,sadness;anger;surprise;joy;disgust,7.08,low,9.66
123,van Dongen,7,-9.41,surprise,35.11,57.42,69.99,-0.57,surprise,11.78,surprise;sadness;anger;joy;disgust,7.11,low,2.7
125,Braque,5,0.0,neutral,0.0,61.62,80.53,-0.59,anger,0.91,anger;sadness;joy;disgust;surprise,5.74,low,6.41
125,Janco,7,-10.31,joy,23.58,63.42,93.96,0.0,joy,0.0,joy;sadness;anger;disgust;surprise,7.9,low,2.45
