ParticipantID,Painting,TimeAtTheTile,TileTimePercent_Audio,SelfReportedLiking,GazeTime,GazePercent_Audio,SaccadeRate,EngagementLevel,ReactionTime
138,Klimt,98.57,113.26,2.0,80.42,90.55,16.68,low,5.65
138,Pollock,97.7,111.94,30.0,56.56,63.6,7.85,low,5.39
138,van Dongen,87.41,108.21,3.5,61.36,74.2,9.62,low,2.69
138,Braque,82.05,109.85,4.0,50.22,66.12,11.05,low,4.95
138,de Chirico,56.84,116.86,14.0,32.68,65.61,11.15,low,4.67
138,Janco,123.54,189.35,8.0,54.14,82.0,15.09,low,0.01
138,Picasso,65.36,108.74,37.5,51.26,84.16,10.03,low,2.05
164,Klimt,95.31,109.52,51.5,84.38,95.52,13.1,low,1.82
164,Pollock,97.31,111.49,30.0,64.58,73.55,8.14,low,3.95
164,van Dongen,90.36,111.82,41.0,63.38,77.72,6.44,low,2.14
164,Braque,81.53,109.14,23.5,53.54,71.26,7.47,low,4.12
164,de Chirico,56.64,116.41,14.0,42.68,87.75,7.52,low,5.99
164,Janco,71.28,109.26,43.5,57.58,88.29,9.92,low,1.32
164,Picasso,66.1,109.93,37.5,48.22,79.3,6.74,low,2.35
155,Klimt,112.94,129.75,38.5,82.14,91.73,12.15,low,18.24
155,Pollock,263.15,301.5,30.0,65.98,74.33,7.8,low,7.59
155,van Dongen,88.33,109.35,41.0,65.32,80.11,8.21,low,5.42
155,Braque,83.19,111.4,23.5,42.52,56.48,9.26,low,7.25
155,de Chirico,66.12,135.93,46.5,48.3,97.66,6.99,low,14.86
155,Janco,132.63,203.29,43.5,61.16,92.64,7.77,low,61.03
155,Picasso,66.22,110.18,51.0,57.56,94.81,6.74,low,2.2
152,Klimt,100.11,115.01,20.0,79.28,89.45,12.34,low,7.89
152,Pollock,99.65,114.17,30.0,79.42,90.4,7.75,low,1.83
152,van Dongen,88.04,108.99,14.0,50.4,61.76,7.8,low,3.99
152,Braque,83.51,111.8,4.0,51.04,67.38,8.81,low,6.9
152,de Chirico,58.64,120.54,14.0,40.06,81.74,9.73,low,5.97
152,Janco,72.35,110.91,4.5,50.32,76.13,10.72,low,1.81
